Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
1,25.93951094,6.851590106,22.52252252,39.20308483,1.860677065,77.48091603,0.35,0.000990378,,24.06591292,47,1
1,25.93951094,7.053003534,22.52252252,39.20308483,1.860677065,77.04834606,0.35,0.000983841,,24.06594513,48,1
1,25.93951094,6.90459364,22.52252252,37.27506427,1.852376155,76.5394402,0.35,0.000988199,,24.06578407,49,1
3,46.4028314,5.4204947,828.8288288,25.06426735,1.870846195,74.02035623,0.387581345,0.037849005,,22.51528036,49,1
1,25.93951094,6.915194346,22.52252252,39.20308483,1.84561915,75.72519084,0.35,0.000981662,,24.06597734,50,1
3,35.52767053,5.134275618,1157.657658,29.56298201,1.873612669,74.02035623,0.374580713,0.015191246,,22.05430065,50,1
0,40,7.590825688,846.1538462,140.9903714,2.940302613,50.91847043,0.016573853,0,,10.04491018,51,1
0,40,7.590825688,846.1538462,145.1169188,2.940302613,50.91847043,0.016573853,0,,10.04491018,52,1
0,40,7.590825688,846.1538462,145.9422283,2.940302613,50.91847043,0.016573853,0,,10.04491018,53,1
3,56.81738719,8.267684818,5933.752418,129.7153025,2.637166869,35.18581882,0.025092969,0.491719667,,7.73914154,1,2
3,58.01430975,8.54916708,5781.431335,99.46619217,2.583701727,37.66369338,0.023612276,0.264024499,,8.455577385,2,2
3,60.13218511,8.423251894,6370.40619,109.7864769,2.481504395,37.30327526,0.025346314,0.680381377,,8.719561693,3,2
3,60.22426665,8.386203665,5558.027079,99.11032028,2.644529134,35.99675958,0.024246064,0.543793669,,7.895466406,4,2
3,60.13232254,8.58620422,5304.158607,110.1423488,2.545996132,37.70874564,0.023888072,0.231467226,,8.591066588,5,2
6,50.10794155,8.298323626,5090.909091,140.0355872,2.446181818,33.38372822,0.025546673,0.957475814,,7.916055689,5,2
3,58.01444718,8.467663195,6522.727273,119.3950178,2.677129702,33.33867596,0.022820309,0.823504053,,7.223400151,6,2
6,50.01586001,8.024259881,4887.814313,124.3772242,1.947679446,32.79804878,0.023005383,2.239074327,,9.767721421,6,2
6,51.48905109,8.943887776,3400,402.6408722,1.462275449,42.14115653,0.218960346,0.79532703,,16.71629398,7,2
6,50.82481752,8.903807615,5112.5,313.5817122,1.273453094,37.84257993,0.292555841,0.636984946,,17.236954,8,2
6,51.01459854,8.687374749,4737.5,302.7906023,1.413972056,41.76503648,0.228617501,0.285759043,,17.13305373,9,2
3,51.68466523,8.684684685,5788.413098,142.6865672,1.992017738,67.40594882,0.650752766,0.030105429,,19.62762552,10,2
6,54.4924406,9.162162162,6196.473552,216.7164179,1.832372506,64.74518768,0.703875885,0.78274116,,20.49540318,10,2
10,53.73650108,9.036036036,5123.425693,238.2089552,1.86075388,63.52123755,0.72831252,2.212749047,,19.80125679,10,2
14,53.19654428,9.063063063,4458.438287,312.238806,1.867849224,59.53009585,0.807997199,3.612651506,,18.48661957,10,2
3,50.28077754,8.234234234,5032.745592,133.1343284,2.009756098,62.87017427,0.657298785,0.014655429,,18.1452956,11,2
6,55.03239741,8.990990991,5123.425693,221.4925373,1.942350333,59.1134026,0.723803849,0.644838871,,17.65310614,11,2
10,54.16846652,8.711711712,4836.27204,211.9402985,1.992017738,56.18003294,0.775732461,1.700029751,,16.35880316,11,2
14,53.9524838,8.441441441,4337.531486,242.9850746,2.009756098,51.75424714,0.854080893,2.520733768,,14.93706871,11,2
6,53.68070953,9.272727273,5124.183007,556.7928731,1.890909091,62.47569769,0.731837511,0.77708279,,19.16475199,12,2
10,51.90687361,9.2,4248.366013,503.3407572,1.910606061,59.5796976,0.788318281,1.942706975,,18.08797221,12,2
6,54.78935698,9.190909091,5019.607843,556.7928731,1.88030303,60.50489497,0.75341855,0.743545161,,18.66488867,13,2
10,52.1286031,9.018181818,4248.366013,521.1581292,1.871212121,58.89768138,0.78407816,1.838208869,,18.25735729,13,2
6,54.12416851,8.990909091,4692.810458,538.9755011,1.940909091,59.05961027,0.748113617,0.714319725,,17.65013864,14,2
10,52.01773836,8.718181818,4875.816993,587.9732739,1.990909091,56.03133661,0.803449992,1.775594745,,16.32459033,14,2
14,50.13303769,8.445454545,3555.555556,556.7928731,2.010606061,51.66267953,0.883279516,2.632778415,,14.90433758,14,2
6,52.90465632,8.918181818,4771.24183,543.4298441,1.921212121,61.80206347,0.671963469,0.546724925,,18.65908728,15,2
10,52.23946785,8.563636364,4980.392157,538.9755011,1.940909091,57.43552445,0.748777951,1.559178489,,17.1647758,15,2
6,52.1286031,8.809090909,4784.313725,574.610245,1.871212121,61.50577431,0.646245079,0.537244607,,19.06582519,16,2
10,51.24168514,8.518181818,5163.398693,579.064588,1.909090909,57.28795847,0.717054212,1.492346132,,17.40601986,16,2
5,54.34065934,8.88346422,1261.859583,4.615384615,1.624719101,72.65454545,0.131285007,0.893964111,,25.93864242,17,2
10,61.57509158,8.387170283,690.7020873,2.307692308,1.657303371,69.96363636,0.144204011,1.526916803,,24.48686003,17,2
15,53.79120879,8.29775921,225.8064516,10,1.725842697,69.16363636,0.148044795,1.569331158,,23.24552441,17,2
5,58.18681319,8.105889271,1554.079696,24.61538462,1.747191011,71.89090909,0.141599054,0.221859706,,23.86691725,18,2
10,57.54578755,7.844663882,969.6394687,43.84615385,1.76741573,70.61818182,0.148010395,1.004893964,,23.17611058,18,2
15,56.35531136,7.827585362,511.3851992,66.15384615,1.841573034,69.63636364,0.152956287,1.15497553,,21.93359783,18,2
3,54.7985348,7.020484422,571.1574953,16.92307692,1.783146067,74.43636364,0.123698439,0.013050571,,24.2136894,19,2
5,58.55311355,7.644769244,1866.223909,6.153846154,1.821348315,71.52727273,0.137775074,0.091353997,,22.77935361,19,2
10,60.01831502,7.293152665,1394.686907,52.30769231,1.853932584,68.8,0.150971921,0.691680261,,21.52569781,19,2
15,55.34798535,7.41167318,929.7912713,90.76923077,1.904494382,66.72727273,0.161001524,0.763458401,,20.3229345,19,2
3,53.05860806,5.383972655,863.3776091,30,1.838202247,74.18181818,0.120008654,0.003262643,,23.40814071,20,2
5,59.1025641,4.670092988,1653.70019,18.46153846,1.856179775,72.87272727,0.126093599,0.07177814,,22.77234347,20,2
10,61.11721612,4.598752803,2849.14611,7.692307692,1.887640449,70.83636364,0.135559071,0.140293638,,21.76705738,20,2
15,53.42490842,5.033752741,3068.311195,5.384615385,1.964044944,69.16363636,0.143334279,0.156606852,,20.42627317,20,2
