Day,T,pH,Ammonia,Nitrate,TN,OM,AR,cNH3,,C/N Ratio,exp_id,stage
21,36.94139194,5.143452213,2756.166983,5.384615385,1.971910112,68.14545455,0.148067015,0.163132137,,20.045298,20,3
28,27.41758242,5.443232912,2218.216319,23.07692308,1.997752809,66.87272727,0.153982934,0.169657423,,19.41645873,20,3
36,25.31135531,6.032527596,1686.907021,55.38461538,2.03258427,66.10909091,0.157532486,0.172920065,,18.86580596,20,3
45,25.03663004,6.459294562,1454.459203,119.2307692,2.04494382,65.78181818,0.159053723,0.169657423,,18.65895126,20,3
21,34.01098901,7.177805275,1348.197343,10,1.985393258,67.6,0.141793994,0.185970636,,19.74980862,21,3
28,26.95970696,7.152077233,962.9981025,32.30769231,2.008988764,66.07272727,0.148477886,0.189233279,,19.07688511,21,3
36,26.22710623,7.198890019,790.3225806,73.84615385,2.011235955,64.61818182,0.154843498,0.192495922,,18.63607494,21,3
45,25.03663004,7.273048038,630.9297913,145.3846154,2.039325843,63.38181818,0.160254267,0.192495922,,18.0277202,21,3
21,34.74358974,8.072920623,39.84819734,39.23076923,2.026966292,64.76363636,0.153987268,0.33278956,,18.53307305,22,3
28,26.22710623,8.128566703,26.5654649,76.92307692,2.03258427,64,0.157324454,0.345840131,,18.26392656,22,3
36,25.58608059,8.130159391,13.28273245,176.1538462,2.065168539,63.34545455,0.160184898,0.345840131,,17.79191499,22,3
45,25.12820513,8.131984857,13.28273245,246.1538462,2.085393258,62.83636364,0.162409689,0.345840131,,17.47776186,22,3
21,42.25274725,6.572020141,1255.218216,72.30769231,2.008988764,62.87272727,0.155177172,0.659053834,,18.15296332,23,3
28,26.86813187,6.907954866,1089.184061,109.2307692,2.019101124,61.23636364,0.162016518,0.672104405,,17.59195322,23,3
36,26.22710623,7.180819132,883.3017078,127.6923077,2.028089888,60.36363636,0.16566417,0.672104405,,17.26437788,23,3
45,25.03663004,7.381546868,697.3434535,176.9230769,2.040449438,60.14545455,0.166576083,0.675367047,,17.09777952,23,3
13,47.32578397,8.253533569,2796.116505,942.6070039,2.054474708,42.79003268,0.160261362,0.3320843,,10.32352941,24,3
17,38.7674216,8.161660777,1957.281553,1061.770428,2.159533074,37.43464052,0.175263336,0.338692943,,8.767973856,24,3
20,31.84233449,7.891784452,1234.951456,1239.299611,2.276264591,34.64052288,0.183090453,0.345301585,,7.784313725,24,3
13,48.89372822,8.23630742,2563.106796,1032.587549,2.206225681,42.24673203,0.161439228,0.229161927,,8.973856209,25,3
17,39.42073171,8.092756184,1561.165049,1149.319066,2.340466926,32.85539216,0.187691087,0.237405162,,7.441176471,25,3
20,32.56097561,8.02959364,955.3398058,1472.762646,2.515564202,32.46732026,0.188775875,0.242351102,,6.663398693,25,3
13,48.85821832,8.635910224,2265.625,861.023622,2.076359194,52.72727273,0.068416754,0.252072795,,14.7297563,26,3
17,39.88707654,8.198254364,2156.25,921.2598425,1.938912645,51.63636364,0.069995602,0.282754686,,15.44756908,26,3
21,37.18946048,7.947630923,1750,1048.818898,2.167990226,49.27272727,0.07341644,0.300802858,,13.18293224,26,3
25,30.47678795,7.21446384,1421.875,1183.464567,2.307269395,47.36363636,0.076179424,0.312834972,,11.90719514,26,3
17,39.88707654,8.228179551,2054.6875,1094.88189,2.098350641,45.63636364,0.083188107,0.188904195,,12.61524556,27,3
21,36.75031368,7.869077307,1484.375,1279.133858,2.323762981,44,0.085692097,0.204545943,,10.98306582,27,3
25,30.03764115,7.420199501,1156.25,1474.015748,2.505192425,44,0.085692097,0.212366818,,10.18765725,27,3
8,46.73805601,8.72927242,5666.666667,466.897747,1.780618346,53.19230769,0.230274361,0.125353383,,17.32769229,28,3
14,38.20428336,8.297800338,4604.166667,496.0138648,2.019244244,52.73076923,0.232544939,0.37606015,,15.14739644,28,3
23,26.15321252,8.060913706,3812.5,424.2634315,2.421890629,52.42307692,0.234058657,0.55687218,,12.55540481,28,3
14,41.02965404,7.824027073,10104.16667,176.7764298,2.252499072,52.73076923,0.228226555,0.171669173,,13.57882604,29,3
23,27.24876442,7.671742809,9625,160.1386482,2.467799579,51.38461538,0.234726091,0.242766917,,12.07774797,29,3
8,49.79406919,8.001692047,11458.33333,145.5805893,2.027058059,53.03846154,0.224861878,0.005533835,,15.17705363,30,3
14,40.39538715,7.866328257,12395.83333,57.19237435,2.315540666,51.30769231,0.233149171,0.036210526,,12.85265374,30,3
23,26.67215815,7.58714044,11312.5,66.55112652,2.549512256,50.42307692,0.237384899,0.09275188,,11.47189011,30,3
12,48.49759271,8.296487603,2107.438017,390.0826446,2.231641791,41.42068966,0.217644392,2.327991702,,10.76602982,31,3
16,42.27195836,8.337809917,1198.347107,590.9090909,2.27641791,38.55172414,0.228303689,2.600753673,,9.823235374,31,3
22,26.89206246,8.188016529,413.2231405,841.322314,2.303283582,35.62758621,0.239167972,2.708589801,,8.972257438,31,3
16,43.20988939,8.487603306,1198.347107,340.4958678,2.199402985,36.06896552,0.23391136,3.514189109,,9.51243309,32,3
22,27.33337671,8.239669421,702.4793388,670.2479339,2.267462687,34.91034483,0.238150531,3.577622126,,8.930519602,32,3
12,48.16655823,8.32231405,1900.826446,323.1404959,2.167164179,40.97931034,0.219284284,2.359708211,,10.96820528,33,3
16,43.09954457,8.337809917,1398.071625,491.7355372,2.240597015,37.44827586,0.232403418,2.569037165,,9.694620494,33,3
22,26.83689005,8.17768595,454.5454545,789.2561983,2.287164179,36.4,0.236298161,2.689559896,,9.231383251,33,3
16,41.00292778,8.404958678,1095.041322,541.322314,2.288955224,35.29655172,0.236377554,2.746649611,,8.944534029,34,3
22,26.0093689,8.239669421,399.4490358,769.4214876,2.348059701,34.57931034,0.238997812,2.848142437,,8.542203844,34,3
8,46.96629213,8.456713781,1064.792471,85.16129032,1.247038917,41.4453125,0.184393348,1.079671149,,19.27783018,35,3
12,37.2070626,8.116607774,693.1225869,120,1.82571912,40.32226563,0.187929912,1.605664785,,12.81072478,35,3
16,30.20866774,7.988515901,588.1193694,157.4193548,2.03891709,39.78515625,0.189621312,1.744084163,,11.31837921,35,3
20,27.19101124,8.165194346,303.9655727,189.6774194,2.177664975,37.97851563,0.195310566,1.808679873,,10.11601953,35,3
8,45.61797753,8.399293286,756.451094,82.58064516,1.358714044,44.5703125,0.171567652,0.752078621,,19.02743965,36,3
12,36.37239165,8.090106007,618.1306306,122.5806452,1.338409475,42.86132813,0.176857353,1.222704506,,18.57545071,36,3
16,29.75922953,7.913427562,688.1274131,212.9032258,2.448392555,38.95507813,0.188948096,1.342667967,,9.228811339,36,3
20,27.19101124,8.050353357,374.7828185,291.6129032,2.377326565,37.24609375,0.194237797,1.467245407,,9.087713505,36,3
8,46.51685393,8.408127208,710.6177606,110.9677419,1.470389171,45.44921875,0.171189083,0.682868932,,17.92903295,37,3
12,37.2070626,7.992932862,588.9559202,121.2903226,1.642978003,41.54296875,0.183447521,1.121196962,,14.66656862,37,3
16,30.14446228,7.838339223,742.286036,189.6774194,2.556683587,38.7109375,0.192334888,1.241160423,,8.782526001,37,3
20,27.44783307,8.015017668,374.798906,268.3870968,2.485617597,36.26953125,0.199996411,1.333440009,,8.463896936,37,3
8,47.02752294,8.460550459,1070.588235,84.17618271,1.247058824,41.52293578,0.184424504,1.077706487,,19.31362749,38,3
12,37.20183486,8.119266055,690.1960784,119.4127243,1.823529412,40.34862385,0.188128039,1.608006504,,12.83449228,38,3
16,30.13761468,7.99266055,592.1568627,156.6068515,2.02745098,39.76146789,0.189979807,1.744858121,,11.37561237,38,3
20,27.24770642,8.163302752,309.8039216,187.4388254,2.168627451,38.0733945,0.19530364,1.809007317,,10.18355437,38,3
8,46.64220183,8.411009174,709.8039216,110.1141925,1.462745098,45.48623853,0.171625419,0.684258087,,18.03740728,39,3
12,37.26605505,7.998165138,588.2352941,120.3915171,1.639215686,41.59633028,0.183871999,1.12474923,,14.71911353,39,3
16,30.13761468,7.844036697,745.0980392,189.3964111,2.556862745,38.73394495,0.192883633,1.248771008,,8.787130054,39,3
20,27.37614679,8.020183486,392.1568627,268.6786297,2.478431373,36.31192661,0.200508862,1.330026656,,8.498360161,39,3
8,48.88990826,8.152293578,866.6666667,46.00326264,1.588235294,47.83486239,0.163945514,0.598725826,,17.46998068,40,3
12,42.46788991,8.102752294,760.7843137,90.04893964,1.721568627,43.57798165,0.177324114,0.992174226,,14.68268597,40,3
16,32.25688073,8.196330275,796.0784314,135.5628059,2.780392157,38.51376147,0.193240034,1.261600847,,8.034754658,40,3
20,27.18348624,8.32293578,545.0980392,223.1647635,2.666666667,37.26605505,0.197161348,1.372792787,,8.106015454,40,3
10,43.35877863,7.99563795,3787.878788,162.5227477,2.006051437,42.81789091,0.231613925,1.863707308,,12.38072124,41,3
